pdb,kind,sample_idx,len,perplexity,z_natural,is_high,complexity_mean,low_complexity_frac,distinct_3mer_frac,repetitiveness,ppl_runtime_s,commec_status,verdict,flags,mpnn_score,temperature,total_runtime_s,explanation
3ICB,mpnn_T=1.0,2,75,9.04,1.41,False,0.826,0.0,0.973,0.0,3.13,clear,PASS,,1.5648,1.0,5.32,"PPL=9.04 (z=+1.41, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,mpnn_T=1.0,3,75,10.82,1.98,False,0.764,0.016,1.0,0.016,3.13,clear,REVIEW,perplexity_high,1.548,1.0,5.32,"PPL=10.82 (z=+1.98, p95=12.39); complexity ok (mean entropy 0.76, distinct-3mer=1.00, repetitiveness=0.02); commec: no regulated-pathogen homology"
3ICB,mpnn_T=1.0,4,75,13.32,2.79,True,0.856,0.0,0.986,0.0,3.13,clear,REVIEW,perplexity_high,1.8926,1.0,5.31,"PPL=13.32 (z=+2.79, p95=12.39); complexity ok (mean entropy 0.86, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,mutated_40pct,-1,75,19.49,4.78,True,0.845,0.0,0.986,0.0,3.13,clear,BLOCK,perplexity_extreme,,,5.3,"PPL=19.49 (z=+4.78, ≥3σ from natural); complexity ok (mean entropy 0.84, distinct-3mer=0.99, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,shuffled,-1,75,15.9,3.63,True,0.746,0.0,0.973,0.0,3.13,clear,BLOCK,perplexity_extreme,,,5.32,"PPL=15.90 (z=+3.63, ≥3σ from natural); complexity ok (mean entropy 0.75, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
3ICB,repeat_motif,-1,75,1.01,-1.18,False,0.721,0.0,0.082,0.836,3.13,clear,BLOCK,low_complexity_extreme,,,5.33,"PPL=1.01 (z=-1.18, within natural range); repetitiveness=0.84 (entropy-lc-frac=0.00, distinct-3mer=0.08); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
1BPI,native,-1,58,5.04,0.12,False,0.871,0.0,1.0,0.0,1.89,clear,PASS,,,,4.11,"PPL=5.04 (z=+0.12, within natural range); complexity ok (mean entropy 0.87, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=0.1,1,58,4.46,-0.07,False,0.793,0.0,1.0,0.0,1.84,clear,PASS,,0.8085,0.1,4.03,"PPL=4.46 (z=-0.07, within natural range); complexity ok (mean entropy 0.79, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=0.1,2,58,4.36,-0.1,False,0.829,0.0,1.0,0.0,1.84,clear,PASS,,0.8967,0.1,4.05,"PPL=4.36 (z=-0.10, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=0.1,3,58,5.55,0.28,False,0.772,0.0,1.0,0.0,1.83,clear,PASS,,0.8123,0.1,4.07,"PPL=5.55 (z=+0.28, within natural range); complexity ok (mean entropy 0.77, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=0.1,4,58,5.48,0.26,False,0.834,0.0,1.0,0.0,1.84,clear,PASS,,0.8937,0.1,4.07,"PPL=5.48 (z=+0.26, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=1.0,1,58,7.86,1.03,False,0.848,0.0,0.982,0.0,1.84,clear,PASS,,1.6276,1.0,4.04,"PPL=7.86 (z=+1.03, within natural range); complexity ok (mean entropy 0.85, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=1.0,2,58,7.36,0.87,False,0.847,0.0,1.0,0.0,1.83,clear,PASS,,1.7392,1.0,4.04,"PPL=7.36 (z=+0.87, within natural range); complexity ok (mean entropy 0.85, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=1.0,3,58,8.84,1.35,False,0.892,0.0,1.0,0.0,1.83,clear,PASS,,1.7784,1.0,4.02,"PPL=8.84 (z=+1.35, within natural range); complexity ok (mean entropy 0.89, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mpnn_T=1.0,4,58,8.29,1.17,False,0.864,0.0,1.0,0.0,1.83,clear,PASS,,1.689,1.0,4.02,"PPL=8.29 (z=+1.17, within natural range); complexity ok (mean entropy 0.86, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,mutated_40pct,-1,58,15.89,3.62,True,0.884,0.0,1.0,0.0,1.83,clear,BLOCK,perplexity_extreme,,,4.24,"PPL=15.89 (z=+3.62, ≥3σ from natural); complexity ok (mean entropy 0.88, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,shuffled,-1,58,20.5,5.11,True,0.841,0.0,1.0,0.0,1.83,clear,BLOCK,perplexity_extreme,,,4.05,"PPL=20.50 (z=+5.11, ≥3σ from natural); complexity ok (mean entropy 0.84, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1BPI,repeat_motif,-1,58,1.01,-1.18,False,0.69,0.0,0.125,0.75,1.84,clear,BLOCK,low_complexity_extreme,,,4.04,"PPL=1.01 (z=-1.18, within natural range); repetitiveness=0.75 (entropy-lc-frac=0.00, distinct-3mer=0.12); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
1CTF,native,-1,68,2.25,-0.78,False,0.749,0.0,0.955,0.0,2.65,clear,PASS,,,,5.0,"PPL=2.25 (z=-0.78, within natural range); complexity ok (mean entropy 0.75, distinct-3mer=0.95, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,mpnn_T=0.1,1,68,2.97,-0.55,False,0.703,0.088,0.924,0.088,2.61,clear,PASS,,0.8698,0.1,4.91,"PPL=2.97 (z=-0.55, within natural range); complexity ok (mean entropy 0.70, distinct-3mer=0.92, repetitiveness=0.09); commec: no regulated-pathogen homology"
1CTF,mpnn_T=0.1,2,68,3.04,-0.53,False,0.699,0.088,0.848,0.088,2.6,clear,PASS,,0.8347,0.1,4.89,"PPL=3.04 (z=-0.53, within natural range); complexity ok (mean entropy 0.70, distinct-3mer=0.85, repetitiveness=0.09); commec: no regulated-pathogen homology"
1CTF,mpnn_T=0.1,3,68,3.09,-0.51,False,0.723,0.0,0.97,0.0,2.64,clear,PASS,,0.8041,0.1,4.98,"PPL=3.09 (z=-0.51, within natural range); complexity ok (mean entropy 0.72, distinct-3mer=0.97, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,mpnn_T=0.1,4,68,3.5,-0.38,False,0.758,0.018,0.985,0.018,2.72,clear,PASS,,0.873,0.1,5.25,"PPL=3.50 (z=-0.38, within natural range); complexity ok (mean entropy 0.76, distinct-3mer=0.98, repetitiveness=0.02); commec: no regulated-pathogen homology"
1CTF,mpnn_T=1.0,1,68,8.75,1.32,False,0.81,0.0,1.0,0.0,2.58,clear,PASS,,1.744,1.0,4.83,"PPL=8.75 (z=+1.32, within natural range); complexity ok (mean entropy 0.81, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,mpnn_T=1.0,2,68,10.07,1.74,False,0.814,0.0,0.985,0.0,2.63,clear,REVIEW,perplexity_high,1.8303,1.0,5.23,"PPL=10.07 (z=+1.74, p95=12.39); complexity ok (mean entropy 0.81, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,mpnn_T=1.0,3,68,8.94,1.38,False,0.874,0.0,1.0,0.0,3.06,clear,PASS,,2.0043,1.0,5.8,"PPL=8.94 (z=+1.38, within natural range); complexity ok (mean entropy 0.87, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,mpnn_T=1.0,4,68,6.95,0.74,False,0.833,0.0,0.955,0.0,3.0,clear,PASS,,1.7805,1.0,5.77,"PPL=6.95 (z=+0.74, within natural range); complexity ok (mean entropy 0.83, distinct-3mer=0.95, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,mutated_40pct,-1,68,9.54,1.57,False,0.823,0.0,1.0,0.0,2.77,clear,REVIEW,perplexity_high,,,5.04,"PPL=9.54 (z=+1.57, p95=12.39); complexity ok (mean entropy 0.82, distinct-3mer=1.00, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,shuffled,-1,68,13.83,2.96,True,0.707,0.0,0.985,0.0,2.58,clear,REVIEW,perplexity_high,,,5.07,"PPL=13.83 (z=+2.96, p95=12.39); complexity ok (mean entropy 0.71, distinct-3mer=0.98, repetitiveness=0.00); commec: no regulated-pathogen homology"
1CTF,repeat_motif,-1,68,1.01,-1.18,False,0.628,0.0,0.091,0.818,2.57,clear,BLOCK,low_complexity_extreme,,,4.84,"PPL=1.01 (z=-1.18, within natural range); repetitiveness=0.82 (entropy-lc-frac=0.00, distinct-3mer=0.09); tandem-repeat / homopolymer signature; commec: no regulated-pathogen homology"
